Ticket ID,Vendor,Invoice,Labor Cost,Parts Cost,Total Cost,Completion Date
Office Accessories,Tazz,22.99,2.99,9.99,12.98,2/7/2026
Power Accessories,Agimba,24.99,3.49,34.99,38.48,3/5/2024
Garden Supplies,Jayo,34.99,25.99,1.99,27.98,1/22/2025
Frozen Chicken Wings,Yotz,8.99,149.99,19.99,169.98,3/17/2025
Cookies,Oyoba,4.29,249.99,299.99,549.98,3/7/2024
Tablets for Kids,Zoomlounge,129.99,25.99,3.99,29.98,11/17/2026
Air Quality & Purification,Voonder,129.99,39.99,3.99,43.98,1/11/2025
Dips & Spreads,Jaxspan,3.29,3.49,2.99,6.48,8/29/2025
Phone Accessories,Lajo,39.99,22.99,5.49,28.48,3/9/2026
Activewear,Yabox,39.99,12.99,79.99,92.98,9/1/2025
Tripods & Accessories,Ozu,29.99,3.49,2.5,5.99,7/27/2025
Sauces,Voomm,3.29,8.99,79.99,88.98,11/14/2026
Massage Therapy,Oyoyo,79.99,3.99,28.99,32.98,7/17/2024
Frozen Pizza Crusts,Vipe,5.99,2.29,9.99,12.28,8/30/2026
Pancakes & Waffles,Quinu,4.49,4.99,2.29,7.28,2/14/2024
Camping Equipment,Youopia,34.99,4.99,3.99,8.98,10/1/2024
Smart Lighting,Devbug,24.99,3.99,34.99,38.98,6/4/2024
Healthy Snacks,Meejo,4.59,7.19,29.99,37.18,2/24/2024
Seasoning Blends,Twitterwire,1.99,10.99,34.99,45.98,11/11/2024
Seasonal Home Decor,Rhybox,34.99,1.29,16.99,18.28,12/22/2026
Dressing,Innotype,3.79,10.99,4.99,15.98,3/13/2026
Wellness & Relaxation,Skyba,8.99,2.99,29.99,32.98,12/13/2024
Pain Relief & Therapy,Jabbersphere,20.99,4.99,8.49,13.48,5/11/2026
Food Storage Solutions,Babbleset,14.99,29.99,24.99,54.98,6/9/2025
Fruit Sauces,Dynava,3.99,34.99,2.69,37.68,12/13/2025
Musical Toys,Tagopia,39.99,79.99,59.99,139.98,9/3/2026
Phone Accessories,Avamm,14.99,10.99,3.99,14.98,9/24/2024
Frozen Meals,Youtags,8.99,12.99,3.39,16.38,3/23/2026
